Order Id,Order Date,Delivery Date,Customer Id,Product Id,Supplier Id,Price
bebccdc1-cf2e-45f9-b5bf-0835c4b0f631,5/13/2025,5/17/2025,B01765,P00035,S0066,99.33
6fefb338-63ba-40e0-ad22-b3d8b1c4efa9,5/16/2025,5/18/2025,B00942,P00223,S0027,24.39
9fc9c001-d3b1-42ae-9415-683df1772e8f,4/22/2025,5/1/2025,B01783,P00485,S0037,65.71
c16e5d50-b4c8-4dc4-8c7e-6c42e21f36d1,4/5/2025,4/12/2025,B09690,P00077,S0116,107.78
d1c5dee9-3213-4b00-8dee-227ecdff5db4,4/23/2025,4/30/2025,B08902,P00473,S0170,128.45
f95dc907-d1d2-41d3-956c-c2df781a8ce0,5/13/2025,5/15/2025,B09252,P00097,S0114,96.12
76d96c9c-b169-469f-aae7-3e938e5090ed,5/3/2025,5/5/2025,B00208,P00491,S0033,81.16
0c628693-f6b9-4c2c-a20f-86ed245e155c,4/15/2025,4/21/2025,B00679,P00326,S0057,51.84
a33589f4-ed11-4fc1-9779-1c38120f6177,5/14/2025,5/17/2025,B08742,P00334,S0038,341.09
1cbb46f4-36bc-4fa9-bc3b-ab35f9d50478,4/21/2025,4/30/2025,B04394,P00447,S0197,51.95
bd5cc5a7-6bda-453e-ba87-24581f881909,5/19/2025,5/26/2025,B05235,P00371,S0200,188.73
1ab9cedf-2966-42b8-826c-5b195f883e22,5/14/2025,5/24/2025,B08553,P00383,S0147,141.9
6fb17edc-7a5d-4b39-8033-488310e3aac5,5/14/2025,5/21/2025,B00496,P00074,S0081,75.78
b0e10a97-b458-4aad-b5c8-6181b1dbd5a2,5/17/2025,5/19/2025,B02242,P00229,S0009,102.66
a0a3fbe6-0950-4bbd-834f-6e5137338dcb,5/3/2025,5/11/2025,B01794,P00441,S0095,105.28
037d11f7-3858-4f40-ae0d-c34e36c49763,4/25/2025,5/5/2025,B05555,P00332,S0087,157.45
028b3545-8fa2-40a9-8e17-45479e410d56,4/20/2025,4/28/2025,B02656,P00296,S0026,132.04
4a2e4fad-bf7f-4926-93eb-f2d2cb79d2e8,4/9/2025,4/13/2025,B04730,P00136,S0199,98.94
af5d0190-c7fe-4e50-9cef-275aa0c23d6a,4/24/2025,4/26/2025,B01145,P00177,S0151,244.15
3692a74b-ca5d-477b-89cc-d5ca446619cd,4/19/2025,4/27/2025,B05404,P00474,S0085,136.71
365688a0-e2d3-4163-8c78-6858de27221a,5/17/2025,5/23/2025,B09476,P00469,S0034,47.69
